file,documentID,instanceID,parentDocumentID,parentInstanceID
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/67510212_9abe9ee506_o.jpg,uuid:1a5fd559645fda118c5d9bb46fe99d01,uuid:1b5fd559645fda118c5d9bb46fe99d01,uuid:195fd559645fda118c5d9bb46fe99d01,uuid:195fd559645fda118c5d9bb46fe99d01
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/98286427_46752a7acd_b.jpg,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/98286429_f3239b51ec_b.jpg,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/98783168_a04e6a740e_o.jpg,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/Bewegte%20Wasser%201.jpg,adobe:docid:photoshop:d17fb401-6926-11d7-b2bf-98e04930742c,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/D%20030731%20Regentropfen%20auf%20C3%20Estavayer.jpg,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/Wasser-14.jpg,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/Wasser_dunkel.jpg,adobe:docid:photoshop:e7dc0224-3095-11d7-a2ec-d1fcfb080b2c,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/Wasser_hell.jpg,adobe:docid:photoshop:6191e07c-309c-11d7-b381-cf7d85bf0ccf,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/blau5.jpg,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/fluessigkeit3.jpg,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/wasser%202.jpg,,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_maps/flüssigkeit/wasser.tropfen.img_0403.jpg,,,,
